genes	name	uniprot	ncbigene	hgnc.symbol	proteomic evidence (#studies)	proteomic evidence (pubmed)	references	notes
HACD3	HACD3	Q9P035	51495	HACD3	11	pubmed:22954596;pubmed:24555563;pubmed:26078478;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33341364;pubmed:33806028;pubmed:35858567;pubmed:37942280;pubmed:38964323		
HARS1	HARS1	P12081	3035	HARS1	11	pubmed:18494517;pubmed:24555563;pubmed:26474164;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33676898;pubmed:35858567;pubmed:37942280;pubmed:38147558;pubmed:38964323		
LPCAT3	MBOA5	Q6P1A2	10162	LPCAT3	11	pubmed:16861337;pubmed:22954596;pubmed:24555563;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:31552303;pubmed:33341364;pubmed:33806028;pubmed:35858567;pubmed:38964323	pubmed:25500335;pubmed:27341449	
MBLAC2	MBLC2	Q68D91	153364	MBLAC2	11	pubmed:19778645;pubmed:22954596;pubmed:26078478;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33341364;pubmed:33806028;pubmed:35858567;pubmed:38147558;pubmed:38964323		
NT5C3A	5NT3A	Q9H0P0	51251	NT5C3A	11	pubmed:18494517;pubmed:18614565;pubmed:24555563;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:38147558;pubmed:38964323	pubmed:10942414;pubmed:12418222;pubmed:15238149;pubmed:15968458;pubmed:2993713;pubmed:9428647	
PFKP	PFKAP	Q01813	5214	PFKP	11	pubmed:26474164;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:33103907;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38964323	pubmed:2970843;pubmed:6451249	
PLAA	PLAP	Q9Y263	9373	PLAA	11	pubmed:18614565;pubmed:26474164;pubmed:27006477;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33341364;pubmed:33806028;pubmed:35858567;pubmed:38147558;pubmed:38964323		
PPP2R1B	2AAB	P30154	5519	PPP2R1B	11	pubmed:26474164;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:38147558;pubmed:38964323	pubmed:10578065;pubmed:2831201	
PRDX4	PRDX4	Q13162	10549	PRDX4	11	pubmed:22954596;pubmed:24555563;pubmed:26078478;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33806028;pubmed:35858567;pubmed:37942280;pubmed:38147558;pubmed:38964323		
PRPS2	PRPS2	P11908	5634	PRPS2	11	pubmed:26474164;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:35858567;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323		
PYCR3	P5CR3	Q53H96	65263	PYCR3	11	pubmed:22954596;pubmed:24555563;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33341364;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:38147558;pubmed:38964323	pubmed:2722838;pubmed:6893152;pubmed:6894153	
RPS6KA3	KS6A3	P51812	6197	RPS6KA3	11	pubmed:18614565;pubmed:24555563;pubmed:26474164;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:35858567;pubmed:37942280;pubmed:38147558;pubmed:38964323	pubmed:36029940	
SARS1	SYSC	P49591	6301	SARS1	11	pubmed:18614565;pubmed:22954596;pubmed:27006477;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33676898;pubmed:33806028;pubmed:35858567;pubmed:37942280;pubmed:38964323	pubmed:19421340;pubmed:35976696	
SHMT1	GLYC	P34896	6470	SHMT1	11	pubmed:18614565;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33341364;pubmed:33806028;pubmed:35858567;pubmed:37942280;pubmed:38147558;pubmed:38964323		
SLC2A14	GTR14	Q8TDB8	144195	SLC2A14	11	pubmed:19778645;pubmed:26078478;pubmed:27006477;pubmed:28689405;pubmed:30327373;pubmed:31552303;pubmed:33806028;pubmed:35858567;pubmed:37760001;pubmed:38147558;pubmed:38964323		
SLC2A4	GLUT4	P14672	6517	SLC2A4	11	pubmed:16861337;pubmed:26078478;pubmed:28263177;pubmed:28689405;pubmed:30271928;pubmed:30327373;pubmed:31552303;pubmed:33341364;pubmed:33806028;pubmed:37942280;pubmed:38964323		
TFRC	TFR1	P02786	7037	TFRC	11	pubmed:27006477;pubmed:28689405;pubmed:30271928;pubmed:30327373;pubmed:31552303;pubmed:33103907;pubmed:33676898;pubmed:33806028;pubmed:35858567;pubmed:37942280;pubmed:38964323	pubmed:10192390;pubmed:33352721	
TXNDC5	TXND5	Q8NBS9	81567	TXNDC5	11	pubmed:24555563;pubmed:26078478;pubmed:27006477;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33676898;pubmed:33806028;pubmed:35858567;pubmed:37942280;pubmed:38964323	doi:10.1016/j.euprot.2015.04.001;pubmed:29599206	
UBXN1	UBXN1	Q04323	51035	UBXN1	11	pubmed:24555563;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323		
XPNPEP1	XPP1	Q9NQW7	7511	XPNPEP1	11	pubmed:18614565;pubmed:19778645;pubmed:24555563;pubmed:26474164;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33341364;pubmed:35858567;pubmed:38147558;pubmed:38964323	pubmed:1515063;pubmed:6437213;pubmed:7002549;pubmed:743227	
ADA	ADA	P00813	100	ADA	10	pubmed:18494517;pubmed:24555563;pubmed:26474164;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:35858567;pubmed:37760001;pubmed:38147558;pubmed:38964323	pubmed:1125070;pubmed:692398;pubmed:6934695;pubmed:7312831	
ARF1	ARF1	P84077	375	ARF1	10	pubmed:18399644;pubmed:18614565;pubmed:26474164;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33806028;pubmed:37760001;pubmed:38964323		
CP	CERU	P00450	1356	CP	10	pubmed:27777340;pubmed:28263177;pubmed:30327373;pubmed:33103907;pubmed:33676898;pubmed:33806028;pubmed:37760001;pubmed:38147558;pubmed:38964323;pubmed:40043591	pubmed:23219802;pubmed:2835996;pubmed:6095836	Ceruloplasmin binds to membrane receptors on the surface of RBC membranes, which was later shown to be SLC40A1 transporter protein (pubmed:6095836;pubmed:23219802;pubmed:2835996).
CSNK2A1	CSK21	P68400	1457	CSNK2A1	10	pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323	pubmed:12628923;pubmed:19758581;pubmed:3866141;pubmed:8239658	
ELOB	ELOB	Q15370	6923	ELOB	10	pubmed:18614565;pubmed:24555563;pubmed:26474164;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33806028;pubmed:35858567;pubmed:37942280;pubmed:38964323		
ENOPH1	ENOPH	Q9UHY7	58478	ENOPH1	10	pubmed:18494517;pubmed:18614565;pubmed:26474164;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:35858567;pubmed:36346805;pubmed:38147558;pubmed:38964323		
EPHX1	HYEP	P07099	2052	EPHX1	10	pubmed:22954596;pubmed:26078478;pubmed:27006477;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33341364;pubmed:33806028;pubmed:35858567;pubmed:38964323	pubmed:32996603	
FARSB	SYFB	Q9NSD9	10056	FARSB	10	pubmed:26474164;pubmed:27006477;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33341364;pubmed:33806028;pubmed:35858567;pubmed:37942280;pubmed:38964323	pubmed:19421340;pubmed:35976696	
FTL	FRIL	P02792	2512	FTL	10	pubmed:22954596;pubmed:24555563;pubmed:26474164;pubmed:27006477;pubmed:28689405;pubmed:33103907;pubmed:33806028;pubmed:35858567;pubmed:37942280;pubmed:38964323	pubmed:4796257;pubmed:6626742	
GMPS	GUAA	P49915	8833	GMPS	10	pubmed:18614565;pubmed:26474164;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33676898;pubmed:35858567;pubmed:37942280;pubmed:38964323		
HDDC3	MESH1	Q8N4P3	374659	HDDC3	10	pubmed:18614565;pubmed:24555563;pubmed:26474164;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:35858567;pubmed:37760001;pubmed:38147558;pubmed:38964323		
IMPA1	IMPA1	P29218	3612	IMPA1	10	pubmed:18494517;pubmed:18614565;pubmed:26474164;pubmed:28263177;pubmed:30327373;pubmed:33676898;pubmed:35858567;pubmed:36346805;pubmed:38147558;pubmed:38964323	pubmed:2540502	
INPP5D	SHIP1	Q92835	3635	INPP5D	10	pubmed:18614565;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33806028;pubmed:35858567;pubmed:38147558;pubmed:38964323		
ITPA	ITPA	Q9BY32	3704	ITPA	10	pubmed:18614565;pubmed:24555563;pubmed:26474164;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:35858567;pubmed:37760001;pubmed:38147558;pubmed:38964323	pubmed:22060550;pubmed:33191;pubmed:487601	
KARS1	SYK	Q15046	3735	KARS1	10	pubmed:18614565;pubmed:24555563;pubmed:26474164;pubmed:28689405;pubmed:30327373;pubmed:33676898;pubmed:35858567;pubmed:37942280;pubmed:38147558;pubmed:38964323	pubmed:19421340;pubmed:35976696	
MAN2C1	MA2C1	Q9NTJ4	4123	MAN2C1	10	pubmed:24555563;pubmed:26474164;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33341364;pubmed:33806028;pubmed:35858567;pubmed:38147558;pubmed:38964323	pubmed:31942	
MDH2	MDHM	P40926	4191	MDH2	10	pubmed:16861337;pubmed:18614565;pubmed:27006477;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33676898;pubmed:33806028;pubmed:35858567;pubmed:37942280		
NADSYN1	NADE	Q6IA69	55191	NADSYN1	10	pubmed:18614565;pubmed:19778645;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33341364;pubmed:35858567;pubmed:36346805;pubmed:38147558;pubmed:38964323	pubmed:14704851;pubmed:2107886	
NAXE	NNRE	Q8NCW5	128240	NAXE	10	pubmed:26474164;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:35858567;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323;pubmed:40043591		
NCEH1	NCEH1	Q6PIU2	57552	NCEH1	10	pubmed:19778645;pubmed:26078478;pubmed:27006477;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33806028;pubmed:35858567;pubmed:37942280;pubmed:38964323	pubmed:236766	
NIT2	NIT2	Q9NQR4	56954	NIT2	10	pubmed:26474164;pubmed:27006477;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:35858567;pubmed:36346805;pubmed:37942280;pubmed:38147558;pubmed:38964323		
NPLOC4	NPL4	Q8TAT6	55666	NPLOC4	10	pubmed:18614565;pubmed:24555563;pubmed:26474164;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33676898;pubmed:35858567;pubmed:38964323		
PPCDC	COAC	Q96CD2	60490	PPCDC	10	pubmed:18399644;pubmed:18614565;pubmed:24555563;pubmed:26474164;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:35858567;pubmed:38964323;pubmed:40043591	pubmed:11923312;pubmed:19584050	
PPP1CB	PP1B	P62140	5500	PPP1CB	10	pubmed:18494517;pubmed:18614565;pubmed:24555563;pubmed:28689405;pubmed:30327373;pubmed:35858567;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323	pubmed:3029059	
RDH11	RDH11	Q8TC12	51109	RDH11	10	pubmed:22954596;pubmed:26078478;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:33806028;pubmed:35858567;pubmed:37760001;pubmed:38964323	pubmed:25829192	
RPE	RPE	Q96AT9	6120	RPE	10	pubmed:24555563;pubmed:26474164;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:35858567;pubmed:36346805;pubmed:38147558;pubmed:38964323;pubmed:40043591	pubmed:6882362;pubmed:7396409	
SLC43A3	S43A3	Q8NBI5	29015	SLC43A3	10	pubmed:26078478;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:31552303;pubmed:33341364;pubmed:33806028;pubmed:35858567;pubmed:37942280;pubmed:38964323	pubmed:3379069	
SMS	SPSY	P52788	6611	SMS	10	pubmed:18494517;pubmed:18614565;pubmed:26474164;pubmed:27006477;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:35858567;pubmed:37942280;pubmed:38964323		
UBXN6	UBXN6	Q9BZV1	80700	UBXN6	10	pubmed:18614565;pubmed:19778645;pubmed:24555563;pubmed:28689405;pubmed:30327373;pubmed:33806028;pubmed:35858567;pubmed:37942280;pubmed:38147558;pubmed:38964323		
VCPIP1	VCIP1	Q96JH7	80124	VCPIP1	10	pubmed:18614565;pubmed:19778645;pubmed:27006477;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33806028;pubmed:35858567;pubmed:38147558;pubmed:38964323		
ABHD16A	ABHGA	O95870	7920	ABHD16A	9	pubmed:24555563;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:31552303;pubmed:33341364;pubmed:33806028;pubmed:35858567;pubmed:38964323	pubmed:8526865	
ACTA1	ACTS	P68133	58	ACTA1	9	pubmed:16861337;pubmed:18614565;pubmed:27777340;pubmed:30327373;pubmed:33676898;pubmed:33806028;pubmed:37942280;pubmed:38147558;pubmed:38964323	pubmed:25717184;pubmed:27055045;pubmed:284418;pubmed:35020457;pubmed:6682109	
ATP6V0D1	VA0D1	P61421	9114	ATP6V0D1	9	pubmed:16861337;pubmed:18614565;pubmed:26078478;pubmed:27006477;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33806028;pubmed:35858567	pubmed:33341364;pubmed:7796469	
CDK2	CDK2	P24941	1017	CDK2	9	pubmed:18614565;pubmed:24555563;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33806028;pubmed:35858567;pubmed:37942280;pubmed:38964323		
CSNK2A2	CSK22	P19784	1459	CSNK2A2	9	pubmed:12362340;pubmed:18614565;pubmed:26474164;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33806028;pubmed:35858567;pubmed:38964323	pubmed:12628923;pubmed:19758581;pubmed:3866141;pubmed:8239658	
GALE	GALE	Q14376	2582	GALE	9	pubmed:18494517;pubmed:24555563;pubmed:26474164;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:35858567;pubmed:38147558;pubmed:38964323	doi:10.1016/0925-6164(93)90001-Y	
GALT	GALT	P07902	2592	GALT	9	pubmed:18494517;pubmed:26474164;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:35858567;pubmed:36346805;pubmed:38147558;pubmed:38964323	pubmed:4627742	
GLUL	GLNA	P15104	2752	GLUL	9	pubmed:18614565;pubmed:24555563;pubmed:26474164;pubmed:27006477;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:35858567;pubmed:38964323	pubmed:4145381	
MAT2B	MAT2B	Q9NZL9	27430	MAT2B	9	pubmed:18614565;pubmed:24555563;pubmed:26474164;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:35858567;pubmed:37942280;pubmed:38964323	pubmed:25075345;pubmed:6871179	
MBOAT2	MBOA2	Q6ZWT7	129642	MBOAT2	9	pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33341364;pubmed:33806028;pubmed:35858567;pubmed:38964323		
NPL	NPL	Q9BXD5	80896	NPL	9	pubmed:18614565;pubmed:26474164;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:35858567;pubmed:38147558;pubmed:38964323	pubmed:12453637	
PCBD2	PHS2	Q9H0N5	84105	PCBD2	9	pubmed:24555563;pubmed:26474164;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:38964323		
PPP1CA	PP1A	P62136	5499	PPP1CA	9	pubmed:24555563;pubmed:26474164;pubmed:28263177;pubmed:28689405;pubmed:33676898;pubmed:33806028;pubmed:35858567;pubmed:37942280;pubmed:38964323	pubmed:3029059	
PRUNE1	PRUN1	Q86TP1	58497	PRUNE1	9	pubmed:18614565;pubmed:24555563;pubmed:26474164;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:35858567;pubmed:38147558;pubmed:38964323		
SLC44A2	CTL2	Q8IWA5	57153	SLC44A2	9	pubmed:26078478;pubmed:28263177;pubmed:28689405;pubmed:30271928;pubmed:30327373;pubmed:31552303;pubmed:33806028;pubmed:37942280;pubmed:38964323	pubmed:36695047	
SLC7A1	CTR1	P30825	6541	SLC7A1	9	pubmed:28263177;pubmed:28689405;pubmed:30271928;pubmed:30327373;pubmed:31552303;pubmed:33341364;pubmed:33806028;pubmed:37942280;pubmed:38964323	pubmed:19562367;pubmed:8254535	
SRXN1	SRXN1	Q9BYN0	140809	SRXN1	9	pubmed:18494517;pubmed:24555563;pubmed:26474164;pubmed:27777340;pubmed:28689405;pubmed:30327373;pubmed:35858567;pubmed:36346805;pubmed:38964323	pubmed:25092340	
UBA6	UBA6	A0AVT1	55236	UBA6	9	pubmed:18614565;pubmed:24555563;pubmed:26474164;pubmed:27006477;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:35858567;pubmed:38964323		
VDAC2	VDAC2	P45880	7417	VDAC2	9	pubmed:26078478;pubmed:27006477;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33676898;pubmed:37942280;pubmed:38147558;pubmed:38964323	pubmed:21795748;pubmed:27641616	
ABCA7	ABCA7	Q8IZY2	10347	ABCA7	8	pubmed:26078478;pubmed:28263177;pubmed:28689405;pubmed:30271928;pubmed:31552303;pubmed:33806028;pubmed:37942280;pubmed:38964323	pubmed:12917409;pubmed:15520449	
ARMT1	ARMT1	Q9H993	79624	ARMT1	8	pubmed:18614565;pubmed:26474164;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:35858567;pubmed:38147558;pubmed:38964323	pubmed:30312994	
ATP1B2	AT1B2	P14415	482	ATP1B2	8	pubmed:24555563;pubmed:28263177;pubmed:28689405;pubmed:30271928;pubmed:30327373;pubmed:31552303;pubmed:33806028;pubmed:35858567	pubmed:10952709;pubmed:12388775;pubmed:9159180	
ATP1B3	AT1B3	P54709	483	ATP1B3	8	pubmed:27006477;pubmed:28263177;pubmed:28689405;pubmed:30271928;pubmed:31552303;pubmed:33806028;pubmed:37942280;pubmed:38964323	pubmed:10952709;pubmed:12388775;pubmed:9159180	
CLIC2	CLIC2	O15247	1193	CLIC2	8	pubmed:24555563;pubmed:26474164;pubmed:28689405;pubmed:30327373;pubmed:35858567;pubmed:36346805;pubmed:38147558;pubmed:38964323		
CYB5B	CYB5B	O43169	80777	CYB5B	8	pubmed:22954596;pubmed:26078478;pubmed:28263177;pubmed:28689405;pubmed:33806028;pubmed:35858567;pubmed:37942280;pubmed:38964323		
DERL1	DERL1	Q9BUN8	79139	DERL1	8	pubmed:22954596;pubmed:24555563;pubmed:28263177;pubmed:28689405;pubmed:33806028;pubmed:35858567;pubmed:37942280;pubmed:38964323		
DGKA	DGKA	P23743	1606	DGKA	8	pubmed:18614565;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33341364;pubmed:33806028;pubmed:35858567;pubmed:38964323		
ECHDC1	ECHD1	Q9NTX5	55862	ECHDC1	8	pubmed:22954596;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33806028;pubmed:35858567;pubmed:38964323		
FBXL20	FXL20	Q96IG2	84961	FBXL20	8	pubmed:19778645;pubmed:26078478;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33806028;pubmed:35858567;pubmed:38964323		
GDE1	GDE1	Q9NZC3	51573	GDE1	8	pubmed:26078478;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33341364;pubmed:33806028;pubmed:35858567;pubmed:38964323		
GYS1	GYS1	P13807	2997	GYS1	8	pubmed:26474164;pubmed:28263177;pubmed:28689405;pubmed:33341364;pubmed:33806028;pubmed:35858567;pubmed:37942280;pubmed:38964323	doi:10.1016/0009-8981(65)90104-X.;pubmed:5240360	
HRAS	RASH	P01112	3265	HRAS	8	pubmed:22954596;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33341364;pubmed:33806028;pubmed:38964323		
LARS1	SYLC	Q9P2J5	51520	LARS1	8	pubmed:18614565;pubmed:27006477;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33676898;pubmed:37942280;pubmed:38964323	pubmed:19421340;pubmed:35976696	
MPO	PERM	P05164	4353	MPO	8	pubmed:26078478;pubmed:27777340;pubmed:33103907;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323	pubmed:24976018	MPO binds to RBC membranes in vitro and in vivo and RBCs may avidly bind circulating MPO, and may act as carriers of this leukocyte-derived enzyme (pubmed:24976018)
PDXK	PDXK	O00764	8566	PDXK	8	pubmed:18614565;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:35858567;pubmed:37942280;pubmed:38147558;pubmed:38964323	pubmed:9252787	
PSAT1	SERC	Q9Y617	29968	PSAT1	8	pubmed:26474164;pubmed:27006477;pubmed:27777340;pubmed:28689405;pubmed:33103907;pubmed:35858567;pubmed:37942280;pubmed:38964323	pubmed:27405778;pubmed:28590356;pubmed:29296771	
RHD	RHD	Q02161	6007	RHD	8	pubmed:28263177;pubmed:28689405;pubmed:33103907;pubmed:33806028;pubmed:35858567;pubmed:37760001;pubmed:38147558;pubmed:38964323	pubmed:1438298;pubmed:7606008;pubmed:7916743	
SHPK	SHPK	Q9UHJ6	23729	SHPK	8	pubmed:18494517;pubmed:18614565;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:37760001;pubmed:38147558;pubmed:38964323		
SLC25A3	S25A3	Q00325	5250	SLC25A3	8	pubmed:26078478;pubmed:27006477;pubmed:28689405;pubmed:31552303;pubmed:33103907;pubmed:35858567;pubmed:37942280;pubmed:38964323		
SLC25A5	ADT2	P05141	292	SLC25A5	8	pubmed:27006477;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:31552303;pubmed:33676898;pubmed:37942280;pubmed:38964323	pubmed:21795748;pubmed:27641616	
UBB	UBB	P0CG47	7314	UBB	8	pubmed:24555563;pubmed:26078478;pubmed:33103907;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:38147558;pubmed:38964323	pubmed:18494517;pubmed:18614565;pubmed:1986373;pubmed:22954596;pubmed:23781972;pubmed:24555563;pubmed:26474164;pubmed:27006477;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33341364;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001	
VARS1	SYVC	P26640	7407	VARS1	8	pubmed:18614565;pubmed:24555563;pubmed:26474164;pubmed:28689405;pubmed:30327373;pubmed:35858567;pubmed:37942280;pubmed:38964323	pubmed:19421340;pubmed:35976696	
VDAC1	VDAC1	P21796	7416	VDAC1	8	pubmed:26078478;pubmed:27006477;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33676898;pubmed:37942280	pubmed:21795748;pubmed:27641616	
AGT	ANGT	P01019	183	AGT	7	pubmed:28263177;pubmed:33103907;pubmed:33676898;pubmed:33806028;pubmed:37760001;pubmed:38147558;pubmed:38964323		
ATP6V1F	VATF	Q16864	9296	ATP6V1F	7	pubmed:18614565;pubmed:26474164;pubmed:27777340;pubmed:28689405;pubmed:30327373;pubmed:35858567;pubmed:38964323	pubmed:33341364;pubmed:7796469	
CD36	CD36	P16671	948	CD36	7	pubmed:28263177;pubmed:28689405;pubmed:30271928;pubmed:31552303;pubmed:33806028;pubmed:37942280;pubmed:38964323	pubmed:1382721;pubmed:38326223	
CLCN3	CLCN3	P51790	1182	CLCN3	7	pubmed:28263177;pubmed:28689405;pubmed:30271928;pubmed:30327373;pubmed:31552303;pubmed:33806028;pubmed:38964323		
CLIC4	CLIC4	Q9Y696	25932	CLIC4	7	pubmed:18494517;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:35858567;pubmed:37942280;pubmed:38964323		
FKBP2	FKBP2	P26885	2286	FKBP2	7	pubmed:16861337;pubmed:22954596;pubmed:28263177;pubmed:28689405;pubmed:33806028;pubmed:35858567;pubmed:37942280	pubmed:9531554	
GOT2	AATM	P00505	2806	GOT2	7	pubmed:26078478;pubmed:27006477;pubmed:28689405;pubmed:33676898;pubmed:33806028;pubmed:37942280;pubmed:38964323		
GSK3A	GSK3A	P49840	2931	GSK3A	7	pubmed:19778645;pubmed:24555563;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:35858567;pubmed:38964323	pubmed:5240360	
GSTM2	GSTM2	P28161	2946	GSTM2	7	pubmed:23781972;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:35858567;pubmed:38147558;pubmed:38964323		
GYG1	GLYG	P46976	2992	GYG1	7	pubmed:18614565;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:35858567;pubmed:37942280;pubmed:38964323	doi:10.1016/0009-8981(65)90104-X.;pubmed:5240360	
LYPLA1	LYPA1	O75608	10434	LYPLA1	7	pubmed:28263177;pubmed:30327373;pubmed:33103907;pubmed:35858567;pubmed:37942280;pubmed:38147558;pubmed:38964323	pubmed:18706436	
LYPLAL1	LYPL1	Q5VWZ2	127018	LYPLAL1	7	pubmed:24555563;pubmed:26474164;pubmed:28263177;pubmed:28689405;pubmed:36346805;pubmed:38147558;pubmed:38964323		
MFSD2B	MFS2B	A6NFX1	388931	MFSD2B	7	pubmed:22954596;pubmed:28689405;pubmed:30327373;pubmed:31552303;pubmed:33341364;pubmed:33806028;pubmed:35858567	pubmed:29045386;pubmed:33334894	
NAGK	NAGK	Q9UJ70	55577	NAGK	7	pubmed:24555563;pubmed:26474164;pubmed:28263177;pubmed:30327373;pubmed:33103907;pubmed:38147558;pubmed:38964323	pubmed:8982040	
NARS1	SYNC	O43776	4677	NARS1	7	pubmed:18614565;pubmed:27006477;pubmed:28263177;pubmed:30327373;pubmed:35858567;pubmed:37942280;pubmed:38964323	pubmed:19421340;pubmed:35976696	
NMNAT3	NMNA3	Q96T66	349565	NMNAT3	7	pubmed:18614565;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:33806028;pubmed:35858567;pubmed:38964323	pubmed:20457531	
NUDT4	NUDT4	Q9NZJ9	11163	NUDT4	7	pubmed:18614565;pubmed:24555563;pubmed:28689405;pubmed:30327373;pubmed:35858567;pubmed:38964323;pubmed:40043591		
PANK2	PANK2	Q9BZ23	80025	PANK2	7	pubmed:24555563;pubmed:26474164;pubmed:28263177;pubmed:28689405;pubmed:35858567;pubmed:38147558;pubmed:38964323	pubmed:32705819;pubmed:35204826	
PPP2CB	PP2AB	P62714	5516	PPP2CB	7	pubmed:18494517;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33806028;pubmed:35858567;pubmed:37942280	pubmed:10578065;pubmed:2831201	
