	genes	mim	mim.phenotype	hgnc.symbol	type	ncbigene	ensembl	phenotype	cyto.location	morbid.symbol	chromosome	ensemble	mgi	title	title.symbol	mim.all	mim.phenotype.title	mim.phenotype.title.symbol
331	GPI	172400	613470	GPI	gene	2821	ENSG00000105220	Hemolytic anemia, nonspherocytic, due to glucose phosphate isomerase deficiency, 613470 (3)	19q13.11	GPI	chr19	ENSG00000105220	95797	GLUCOSE-6-PHOSPHATE ISOMERASE	GPI	172400;613470	HEMOLYTIC ANEMIA, NONSPHEROCYTIC, DUE TO GLUCOSE PHOSPHATE ISOMERASE DEFICIENCY	
332	GPT	138200		GPT	gene	2875	ENSG00000167701				chr8	ENSG00000167701	95802	GLUTAMATE PYRUVATE TRANSAMINASE	GPT	138200		
333	GPX1	138320	614164	GPX1	gene	2876	ENSG00000233276	Hemolytic anemia due to glutathione peroxidase deficiency, 614164 (1)	3p21.31	GPX1	chr3	ENSG00000233276	104887	GLUTATHIONE PEROXIDASE 1	GPX1	138320;614164	GLUTATHIONE PEROXIDASE DEFICIENCY	GPXD
334	GPX4	138322	250220	GPX4	gene	2879	ENSG00000167468	Spondylometaphyseal dysplasia, Sedaghatian type, 250220 (3)	19p13.3	GPX4	chr19	ENSG00000167468	104767	GLUTATHIONE PEROXIDASE 4	GPX4	138322;250220	SPONDYLOMETAPHYSEAL DYSPLASIA, SEDAGHATIAN TYPE	SMDS
335	GRHPR	604296	260000	GRHPR	gene	9380	ENSG00000137106	Hyperoxaluria, primary, type II, 260000 (3)	9p13.2	GRHPR	chr9	ENSG00000137106	1923488	GLYOXYLATE REDUCTASE/HYDROXYPYRUVATE REDUCTASE	GRHPR	260000;604296	HYPEROXALURIA, PRIMARY, TYPE II	HP2
336	GRIA1	138248	619927	GRIA1	gene	2890	ENSG00000155511	Intellectual developmental disorder, autosomal dominant 67, 619927 (3)	5q33.2	GRIA1	chr5	ENSG00000155511	95808	GLUTAMATE RECEPTOR, IONOTROPIC, AMPA 1	GRIA1	138248;619927	INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL DOMINANT 67	MRD67
337	GRIA1	138248	619931	GRIA1	gene	2890	ENSG00000155511	?Intellectual developmental disorder, autosomal recessive 76, 619931 (3)	5q33.2	GRIA1	chr5	ENSG00000155511	95808	GLUTAMATE RECEPTOR, IONOTROPIC, AMPA 1	GRIA1	138248;619931	INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL RECESSIVE 76	MRT76
338	GSK3A	606784		GSK3A	gene	2931	ENSG00000105723				chr19	ENSG00000105723	2152453	GLYCOGEN SYNTHASE KINASE 3-ALPHA	GSK3A	606784		
339	GSR	138300	618660	GSR	gene	2936	ENSG00000104687	Hemolytic anemia due to glutathione reductase deficiency, 618660 (3)	8p12	GSR	chr8	ENSG00000104687	95804	GLUTATHIONE REDUCTASE	GSR	138300;618660	HEMOLYTIC ANEMIA DUE TO GLUTATHIONE REDUCTASE DEFICIENCY	
340	GSS	601002	231900	GSS	gene	2937	ENSG00000100983	Hemolytic anemia due to glutathione synthetase deficiency, 231900 (3)	20q11.22	GSS	chr20	ENSG00000100983	95852	GLUTATHIONE SYNTHETASE	GSS	231900;601002	GLUTATHIONE SYNTHETASE DEFICIENCY OF ERYTHROCYTES, HEMOLYTIC ANEMIA DUE TO	GSSDE
341	GSS	601002	266130	GSS	gene	2937	ENSG00000100983	Glutathione synthetase deficiency, 266130 (3)	20q11.22	GSS	chr20	ENSG00000100983	95852	GLUTATHIONE SYNTHETASE	GSS	266130;601002	GLUTATHIONE SYNTHETASE DEFICIENCY	GSSD
342	GSTA2	138360		GSTA2	gene	2939	ENSG00000244067				chr6	ENSG00000244067	1095417;3704339;3826440;95863	GLUTATHIONE S-TRANSFERASE, ALPHA-2	GSTA2	138360		
343	GSTM1	138350		GSTM1	gene	2944	ENSG00000134184				chr1	ENSG00000134184	106026;1309467;95860;95861	GLUTATHIONE S-TRANSFERASE, MU-1	GSTM1	138350		
344	GSTM2	138380		GSTM2	gene	2946	ENSG00000213366				chr1	ENSG00000213366	1915562	GLUTATHIONE S-TRANSFERASE, MU-2	GSTM2	138380		
345	GSTM3	138390		GSTM3	gene	2947	ENSG00000134202				chr1	ENSG00000134202	1309466	GLUTATHIONE S-TRANSFERASE, MU-3	GSTM3	138390		
346	GSTM4	138333		GSTM4	gene	2948	ENSG00000168765				chr1	ENSG00000168765	95862	GLUTATHIONE S-TRANSFERASE, MU-4	GSTM4	138333		
347	GSTO1	605482		GSTO1	gene	9446	ENSG00000148834				chr10	ENSG00000148834	1342273	GLUTATHIONE S-TRANSFERASE, OMEGA-1	GSTO1	605482		
348	GSTP1	134660		GSTP1	gene	2950	ENSG00000084207				chr11	ENSG00000084207	2385078;3782108;95864;95865	GLUTATHIONE S-TRANSFERASE, PI	GSTP1	134660		
349	GSTT1	600436		GSTT1	gene	2952					chr22		107379	GLUTATHIONE S-TRANSFERASE, THETA-1	GSTT1	600436		
350	GSTZ1	603758	617596	GSTZ1	gene	2954	ENSG00000100577	[Maleylacetoacetate isomerase deficiency], 617596 (3)	14q24.3	GSTZ1	chr14	ENSG00000100577	1341859	GLUTATHIONE S-TRANSFERASE, ZETA-1	GSTZ1	603758;617596	MALEYLACETOACETATE ISOMERASE DEFICIENCY	MAAID
351	GUCY1A1	139396	615750	GUCY1A1	gene	2982	ENSG00000164116	Moyamoya 6 with achalasia, 615750 (3)	4q32.1	GUCY1A3	chr4	ENSG00000164116	1926562	GUANYLATE CYCLASE 1, SOLUBLE, ALPHA-3	GUCY1A3	139396;615750	MOYAMOYA DISEASE 6 WITH OR WITHOUT ACHALASIA	MYMY6
352	GUCY1B1	139397		GUCY1B1	gene	2983	ENSG00000061918				chr4	ENSG00000061918	1860604	GUANYLATE CYCLASE 1, SOLUBLE, BETA-3	GUCY1B3	139397		
353	GUK1	139270		GUK1	gene	2987	ENSG00000143774				chr1	ENSG00000143774	95871	GUANYLATE KINASE 1	GUK1	139270		
354	GYG1	603942	613507	GYG1	gene	2992	ENSG00000163754	?Glycogen storage disease XV, 613507 (3)	3q24	GYG1	chr3	ENSG00000163754	1351614	GLYCOGENIN 1	GYG1	603942;613507	GLYCOGEN STORAGE DISEASE XV	GSD15
355	GYG1	603942	616199	GYG1	gene	2992	ENSG00000163754	Polyglucosan body myopathy 2, 616199 (3)	3q24	GYG1	chr3	ENSG00000163754	1351614	GLYCOGENIN 1	GYG1	603942;616199	POLYGLUCOSAN BODY MYOPATHY 2	PGBM2
356	GYS1	138570	611556	GYS1	gene	2997	ENSG00000104812	Glycogen storage disease 0, muscle, 611556 (3)	19q13.33	GYS1	chr19	ENSG00000104812	101805	GLYCOGEN SYNTHASE 1	GYS1	138570;611556	GLYCOGEN STORAGE DISEASE 0, MUSCLE	GSD0B
357	HACD3	615940		HACD3	gene	51495	ENSG00000074696				chr15	ENSG00000074696	1889341	PROTEIN TYROSINE PHOSPHATASE-LIKE A DOMAIN-CONTAINING PROTEIN 1	PTPLAD1	615940		
358	HAGH	138760	614033	HAGH	gene	3029	ENSG00000063854	[Glyoxalase II deficiency], 614033 (1)	16p13.3	HAGH	chr16	ENSG00000063854	95745	HYDROXYACYL GLUTATHIONE HYDROLASE	HAGH	138760;614033	HYDROXYACYL GLUTATHIONE HYDROLASE DEFICIENCY	
359	HARS1	142810	614504	HARS1	gene	3035	ENSG00000170445	Usher syndrome type 3B, 614504 (3)	5q31.3	HARS1	chr5	ENSG00000170445	108087	HISTIDYL-tRNA SYNTHETASE 1	HARS1	142810;614504	USHER SYNDROME, TYPE IIIB	USH3B
360	HARS1	142810	616625	HARS1	gene	3035	ENSG00000170445	Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3)	5q31.3	HARS1	chr5	ENSG00000170445	108087	HISTIDYL-tRNA SYNTHETASE 1	HARS1	142810;616625	CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2W	CMT2W
361	HBA	141800	140700	HBA1	gene	3039	ENSG00000206172	Heinz body anemias, alpha-, 140700 (3)	16p13.3	HBA1				HEMOGLOBIN--ALPHA LOCUS 1	HBA1	140700;141800	HEINZ BODY ANEMIAS	
362	HBA	141800	604131	HBA1	gene	3039	ENSG00000206172	Thalassemias, alpha-, 604131 (3)	16p13.3	HBA1				HEMOGLOBIN--ALPHA LOCUS 1	HBA1	141800;604131	ALPHA-THALASSEMIA	
363	HBA	141800	613978	HBA1	gene	3039	ENSG00000206172	Hemoglobin H disease, nondeletional, 613978 (3)	16p13.3	HBA1				HEMOGLOBIN--ALPHA LOCUS 1	HBA1	141800;613978	HEMOGLOBIN H DISEASE	HBH
364	HBA	141800	617973	HBA1	gene	3039	ENSG00000206172	Methemoglobinemia, alpha type, 617973 (3)	16p13.3	HBA1				HEMOGLOBIN--ALPHA LOCUS 1	HBA1	141800;617973	METHEMOGLOBINEMIA, ALPHA TYPE	
365	HBA	141800	617981	HBA1	gene	3039	ENSG00000206172	Erythrocytosis, familial, 7, 617981 (3)	16p13.3	HBA1				HEMOGLOBIN--ALPHA LOCUS 1	HBA1	141800;617981	ERYTHROCYTOSIS, FAMILIAL, 7	ECYT7
366	HBA	141850	140700	HBA2	gene	3040	ENSG00000188536	Heinz body anemia, 140700 (3)	16p13.3	HBA2	chr16	ENSG00000188536	96015;96016	HEMOGLOBIN--ALPHA LOCUS 2	HBA2	140700;141850	HEINZ BODY ANEMIAS	
367	HBA	141850	604131	HBA2	gene	3040	ENSG00000188536	Thalassemia, alpha-, 604131 (3)	16p13.3	HBA2	chr16	ENSG00000188536	96015;96016	HEMOGLOBIN--ALPHA LOCUS 2	HBA2	141850;604131	ALPHA-THALASSEMIA	
368	HBA	141850	613978	HBA2	gene	3040	ENSG00000188536	Hemoglobin H disease, deletional and nondeletional, 613978 (3)	16p13.3	HBA2	chr16	ENSG00000188536	96015;96016	HEMOGLOBIN--ALPHA LOCUS 2	HBA2	141850;613978	HEMOGLOBIN H DISEASE	HBH
369	HBA	141850	617981	HBA2	gene	3040	ENSG00000188536	Erythrocytosis, familial, 7, 617981 (3)	16p13.3	HBA2	chr16	ENSG00000188536	96015;96016	HEMOGLOBIN--ALPHA LOCUS 2	HBA2	141850;617981	ERYTHROCYTOSIS, FAMILIAL, 7	ECYT7
370	HBB	141900	140700	HBB	gene	3043	ENSG00000244734	Heinz body anemia, 140700 (3)	11p15.4	HBB	chr11	ENSG00000244734	5474850;5474852;96021;96022;96025	HEMOGLOBIN--BETA LOCUS	HBB	140700;141900	HEINZ BODY ANEMIAS	
371	HBB	141900	141749	HBB	gene	3043	ENSG00000244734	Hereditary persistence of fetal hemoglobin, 141749 (3);Delta-beta thalassemia, 141749 (3)	11p15.4	HBB	chr11	ENSG00000244734	5474850;5474852;96021;96022;96025	HEMOGLOBIN--BETA LOCUS	HBB	141749;141900	FETAL HEMOGLOBIN QUANTITATIVE TRAIT LOCUS 1	HBFQTL1
372	HBB	141900	603902	HBB	gene	3043	ENSG00000244734	Thalassemia-beta, dominant inclusion-body, 603902 (3)	11p15.4	HBB	chr11	ENSG00000244734	5474850;5474852;96021;96022;96025	HEMOGLOBIN--BETA LOCUS	HBB	141900;603902	BETA-THALASSEMIA, DOMINANT INCLUSION BODY TYPE	
373	HBB	141900	603903	HBB	gene	3043	ENSG00000244734	Sickle cell disease, 603903 (3)	11p15.4	HBB	chr11	ENSG00000244734	5474850;5474852;96021;96022;96025	HEMOGLOBIN--BETA LOCUS	HBB	141900;603903	SICKLE CELL DISEASE	
374	HBB	141900	611162	HBB	gene	3043	ENSG00000244734	{Malaria, resistance to}, 611162 (3)	11p15.4	HBB	chr11	ENSG00000244734	5474850;5474852;96021;96022;96025	HEMOGLOBIN--BETA LOCUS	HBB	141900;611162	MALARIA, SUSCEPTIBILITY TO	
375	HBB	141900	613985	HBB	gene	3043	ENSG00000244734	Thalassemia, beta, 613985 (3)	11p15.4	HBB	chr11	ENSG00000244734	5474850;5474852;96021;96022;96025	HEMOGLOBIN--BETA LOCUS	HBB	141900;613985	BETA-THALASSEMIA	
376	HBB	141900	617971	HBB	gene	3043	ENSG00000244734	Methemoglobinemia, beta type, 617971 (3)	11p15.4	HBB	chr11	ENSG00000244734	5474850;5474852;96021;96022;96025	HEMOGLOBIN--BETA LOCUS	HBB	141900;617971	METHEMOGLOBINEMIA, BETA TYPE	
377	HBB	141900	617980	HBB	gene	3043	ENSG00000244734	Erythrocytosis, familial, 6, 617980 (3)	11p15.4	HBB	chr11	ENSG00000244734	5474850;5474852;96021;96022;96025	HEMOGLOBIN--BETA LOCUS	HBB	141900;617980	ERYTHROCYTOSIS, FAMILIAL, 6	ECYT6
378	HBD	142000		HBD	gene	3045	ENSG00000223609	Thalassemia due to Hb Lepore (3);Thalassemia, delta- (3)	11p15.4	HBD	chr11	ENSG00000223609	5474850;5474852;96021;96022;96025	HEMOGLOBIN--DELTA LOCUS	HBD	142000		
379	HBE1	142100		HBE1	gene	3046	ENSG00000213931				chr11	ENSG00000213931	96024;96027	HEMOGLOBIN--EPSILON LOCUS	HBE1	142100		
380	HBG1	142200	141749	HBG1	gene	3047	ENSG00000213934	Fetal hemoglobin quantitative trait locus 1, 141749 (3)	11p15.4	HBG1	chr11	ENSG00000213934	96023;96024	HEMOGLOBIN, GAMMA A	HBG1	141749;142200	FETAL HEMOGLOBIN QUANTITATIVE TRAIT LOCUS 1	HBFQTL1
381	HBG2	142250	141749	HBG2	gene	3048	ENSG00000196565	Fetal hemoglobin quantitative trait locus 1, 141749 (3)	11p15.4	HBG2	chr11	ENSG00000196565	96023;96024;96027	HEMOGLOBIN, GAMMA G	HBG2	141749;142250	FETAL HEMOGLOBIN QUANTITATIVE TRAIT LOCUS 1	HBFQTL1
382	HBG2	142250	613977	HBG2	gene	3048	ENSG00000196565	Cyanosis, transient neonatal, 613977 (3)	11p15.4	HBG2	chr11	ENSG00000196565	96023;96024;96027	HEMOGLOBIN, GAMMA G	HBG2	142250;613977	CYANOSIS, TRANSIENT NEONATAL	TNCY
383	HBM	609639		HBM	gene	3042	ENSG00000206177				chr16	ENSG00000206177		HEMOGLOBIN MU		609639		
384	HBZ	142310		HBZ	gene	3050	ENSG00000130656				chr16	ENSG00000130656	96019	HEMOGLOBIN--ZETA LOCUS	HBZ	142310		
385	HCK	142370	620296	HCK	gene	3055	ENSG00000101336	Autoinflammation with pulmonary and cutaneous vasculitis, 620296 (3)	20q11.21	HCK	chr20	ENSG00000101336	96052	HCK PROTOONCOGENE, SRC FAMILY TYROSINE KINASE	HCK	142370;620296	AUTOINFLAMMATION WITH PULMONARY AND CUTANEOUS VASCULITIS	AIPCV
386	HEXA	606869	272800	HEXA	gene	3073	ENSG00000213614	GM2-gangliosidosis, several forms, 272800 (3);[Hex A pseudodeficiency], 272800 (3);Tay-Sachs disease, 272800 (3)	15q23	HEXA	chr15	ENSG00000213614	96073	HEXOSAMINIDASE A	HEXA	272800;606869	TAY-SACHS DISEASE	TSD
387	HEXB	606873	268800	HEXB	gene	3074	ENSG00000049860	Sandhoff disease, infantile, juvenile, and adult forms, 268800 (3)	5q13.3	HEXB	chr5	ENSG00000049860	96074	HEXOSAMINIDASE B	HEXB	268800;606873	SANDHOFF DISEASE	
388	HINT1	601314	137200	HINT1	gene	3094	ENSG00000169567	Neuromyotonia and axonal neuropathy, autosomal recessive, 137200 (3)	5q23.3	HINT1	chr5	ENSG00000169567	1321133	HISTIDINE TRIAD NUCLEOTIDE-BINDING PROTEIN 1	HINT1	137200;601314	NEUROMYOTONIA AND AXONAL NEUROPATHY, AUTOSOMAL RECESSIVE	NMAN
389	HK1	142600	235700	HK1	gene	3098	ENSG00000156515	Hemolytic anemia due to hexokinase deficiency, 235700 (3)	10q22.1	HK1	chr10	ENSG00000156515	96103	HEXOKINASE 1	HK1	142600;235700	HEMOLYTIC ANEMIA, NONSPHEROCYTIC, DUE TO HEXOKINASE DEFICIENCY	
390	HK1	142600	605285	HK1	gene	3098	ENSG00000156515	Neuropathy, hereditary motor and sensory, Russe type, 605285 (3)	10q22.1	HK1	chr10	ENSG00000156515	96103	HEXOKINASE 1	HK1	142600;605285	NEUROPATHY, HEREDITARY MOTOR AND SENSORY, RUSSE TYPE	HMSNR
391	HK1	142600	617460	HK1	gene	3098	ENSG00000156515	Retinitis pigmentosa 79, 617460 (3)	10q22.1	HK1	chr10	ENSG00000156515	96103	HEXOKINASE 1	HK1	142600;617460	RETINITIS PIGMENTOSA 79	RP79
392	HK1	142600	618547	HK1	gene	3098	ENSG00000156515	Neurodevelopmental disorder with visual defects and brain anomalies, 618547 (3)	10q22.1	HK1	chr10	ENSG00000156515	96103	HEXOKINASE 1	HK1	142600;618547	NEURODEVELOPMENTAL DISORDER WITH VISUAL DEFECTS AND BRAIN ANOMALIES	NEDVIBA
393	HK3	142570		HK3	gene	3101	ENSG00000160883				chr5	ENSG00000160883	2670962	HEXOKINASE 3	HK3	142570		
394	HMBS	609806	176000	HMBS	gene	3145	ENSG00000256269	Porphyria, acute intermittent, 176000 (3);Porphyria, acute intermittent, nonerythroid variant, 176000 (3)	11q23.3	HMBS	chr11	ENSG00000256269	96112	HYDROXYMETHYLBILANE SYNTHASE	HMBS	176000;609806	PORPHYRIA, ACUTE INTERMITTENT	AIP
395	HMBS	609806	620704	HMBS	gene	3145	ENSG00000256269	Encephalopathy, porphyria-related, 620704 (3)	11q23.3	HMBS	chr11	ENSG00000256269	96112	HYDROXYMETHYLBILANE SYNTHASE	HMBS	609806;620704	ENCEPHALOPATHY, PORPHYRIA-RELATED	ENCEP
396	HMBS	609806	620711	HMBS	gene	3145	ENSG00000256269	Leukoencephalopathy, porphyria-related, 620711 (3)	11q23.3	HMBS	chr11	ENSG00000256269	96112	HYDROXYMETHYLBILANE SYNTHASE	HMBS	609806;620711	LEUKOENCEPHALOPATHY, PORPHYRIA-RELATED	LENCEP
397	HNMT	605238	600807	HNMT	gene	3176	ENSG00000150540	{Asthma, susceptibility to}, 600807 (3)	2q22.1	HNMT	chr2	ENSG00000150540	2153181	HISTAMINE N-METHYLTRANSFERASE	HNMT	600807;605238	ASTHMA, SUSCEPTIBILITY TO	
398	HNMT	605238	616739	HNMT	gene	3176	ENSG00000150540	Intellectual developmental disorder, autosomal recessive 51, 616739 (3)	2q22.1	HNMT	chr2	ENSG00000150540	2153181	HISTAMINE N-METHYLTRANSFERASE	HNMT	605238;616739	INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL RECESSIVE 51	MRT51
399	HPGDS	602598		HPGDS	gene	27306	ENSG00000163106				chr4	ENSG00000163106	1859384	PROSTAGLANDIN D SYNTHASE, HEMATOPOIETIC	HPGDS	602598		
400	HPRT1	308000	300322	HPRT1	gene	3251	ENSG00000165704	Lesch-Nyhan syndrome, 300322 (3)	Xq26.2-q26.3	HPRT1	chrX	ENSG00000165704	96217	HYPOXANTHINE GUANINE PHOSPHORIBOSYLTRANSFERASE 1	HPRT1	300322;308000	LESCH-NYHAN SYNDROME	LNS
401	HPRT1	308000	300323	HPRT1	gene	3251	ENSG00000165704	Hyperuricemia, HRPT-related, 300323 (3)	Xq26.2-q26.3	HPRT1	chrX	ENSG00000165704	96217	HYPOXANTHINE GUANINE PHOSPHORIBOSYLTRANSFERASE 1	HPRT1	300323;308000	HYPERURICEMIA, HPRT-RELATED	HRH
402	HSD17B11	612831		HSD17B11	gene	51170	ENSG00000198189				chr4	ENSG00000198189	2149821	17-BETA-HYDROXYSTEROID DEHYDROGENASE XI	HSD17B11	612831		
403	HSD17B12	609574		HSD17B12	gene	51144	ENSG00000149084				chr11	ENSG00000149084	1926967	17-BETA-HYDROXYSTEROID DEHYDROGENASE XII	HSD17B12	609574		
404	HSP90AA1	140571		HSP90AA1	gene	3320	ENSG00000080824				chr14	ENSG00000080824	96250	HEAT-SHOCK PROTEIN, 90-KD, ALPHA, CLASS A, MEMBER 1	HSP90AA1	140571		
405	HSPA8	600816		HSPA8	gene	3312	ENSG00000109971				chr11	ENSG00000109971	105384	HEAT-SHOCK 70-KD PROTEIN 8	HSPA8	600816		
406	HUWE1	300697	309590	HUWE1	gene	10075	ENSG00000086758	Intellectual developmental disorder, X-linked syndromic, Turner type, 309590 (3)	Xp11.22	HUWE1	chrX	ENSG00000086758	1926884	HECT, UBA, AND WWE DOMAINS-CONTAINING PROTEIN 1	HUWE1	300697;309590	INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC, TURNER TYPE	MRXST
407	IARS1	600709	617093	IARS1	gene	3376	ENSG00000196305	Growth retardation, impaired intellectual development, hypotonia, and hepatopathy, 617093 (3)	9q22.31	IARS1	chr9	ENSG00000196305	2145219	ISOLEUCYL-tRNA SYNTHETASE 1	IARS1	600709;617093	GROWTH RETARDATION, IMPAIRED INTELLECTUAL DEVELOPMENT, HYPOTONIA, AND HEPATOPATHY	GRIDHH
408	IDH1	147700	137800	IDH1	gene	3417	ENSG00000138413	{Glioma, susceptibility to, somatic}, 137800 (3)	2q34	IDH1	chr2	ENSG00000138413	96413	ISOCITRATE DEHYDROGENASE 1	IDH1	137800;147700	GLIOMA SUSCEPTIBILITY 1	GLM1
409	IMPA1	602064	617323	IMPA1	gene	3612	ENSG00000133731	Intellectual developmental disorder, autosomal recessive 59, 617323 (3)	8q21.13	IMPA1	chr8	ENSG00000133731	1933158	MYOINOSITOL MONOPHOSPHATASE 1	IMPA1	602064;617323	INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL RECESSIVE 59	MRT59
410	IMPDH2	146691	617995	IMPDH2	gene	3615	ENSG00000178035	[IMPDH2 enzyme activity, variation in], 617995 (3)	3p21.31	IMPDH2	chr3	ENSG00000178035	109367;3705743	IMP DEHYDROGENASE 2	IMPDH2	146691;617995	IMPDH2 ENZYME ACTIVITY, VARIATION IN	IMPDH2V
411	INPP5A	600106		INPP5A	gene	3632	ENSG00000068383				chr10	ENSG00000068383	2686961	INOSITOL POLYPHOSPHATE-5-PHOSPHATASE, 40-KD	INPP5A	600106		
412	INPP5B	147264		INPP5B	gene	3633	ENSG00000204084				chr1	ENSG00000204084	103257	INOSITOL POLYPHOSPHATE-5-PHOSPHATASE, 75-KD	INPP5B	147264		
413	INPP5D	601582		INPP5D	gene	3635	ENSG00000168918				chr2	ENSG00000168918	107357	INOSITOL POLYPHOSPHATE-5-PHOSPHATASE, 145-KD	INPP5D	601582		
414	INSR	147670	246200	INSR	gene	3643	ENSG00000171105	Donohue syndrome, 246200 (3)	19p13.2	INSR	chr19	ENSG00000171105	96575	INSULIN RECEPTOR	INSR	147670;246200	DONOHUE SYNDROME	
415	INSR	147670	262190	INSR	gene	3643	ENSG00000171105	Rabson-Mendenhall syndrome, 262190 (3)	19p13.2	INSR	chr19	ENSG00000171105	96575	INSULIN RECEPTOR	INSR	147670;262190	PINEAL HYPERPLASIA, INSULIN-RESISTANT DIABETES MELLITUS, AND SOMATIC ABNORMALITIES	
416	INSR	147670	609968	INSR	gene	3643	ENSG00000171105	Hyperinsulinemic hypoglycemia, familial, 5, 609968 (3)	19p13.2	INSR	chr19	ENSG00000171105	96575	INSULIN RECEPTOR	INSR	147670;609968	HYPERINSULINEMIC HYPOGLYCEMIA, FAMILIAL, 5	HHF5
417	INSR	147670	610549	INSR	gene	3643	ENSG00000171105	Diabetes mellitus, insulin-resistant, with acanthosis nigricans, 610549 (3)	19p13.2	INSR	chr19	ENSG00000171105	96575	INSULIN RECEPTOR	INSR	147670;610549	DIABETES MELLITUS, INSULIN-RESISTANT, WITH ACANTHOSIS NIGRICANS	
418	ISYNA1	611670		ISYNA1	gene	51477	ENSG00000105655				chr19	ENSG00000105655	1919030	INOSITOL-3-PHOSPHATE SYNTHASE 1	ISYNA1	611670		
419	ITPA	147520	613850	ITPA	gene	3704	ENSG00000125877	[Inosine triphosphatase deficiency], 613850 (3)	20p13	ITPA	chr20	ENSG00000125877	96622	INOSINE TRIPHOSPHATASE	ITPA	147520;613850	INOSINE TRIPHOSPHATASE DEFICIENCY	
420	ITPA	147520	616647	ITPA	gene	3704	ENSG00000125877	Developmental and epileptic encephalopathy 35, 616647 (3)	20p13	ITPA	chr20	ENSG00000125877	96622	INOSINE TRIPHOSPHATASE	ITPA	147520;616647	DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 35	DEE35
421	JAK3	600173	600802	JAK3	gene	3718	ENSG00000105639	SCID, autosomal recessive, T-negative/B-positive type, 600802 (3)	19p13.11	JAK3	chr19	ENSG00000105639	99928	JANUS KINASE 3	JAK3	600173;600802	SEVERE COMBINED IMMUNODEFICIENCY, AUTOSOMAL RECESSIVE, T CELL-NEGATIVE, B CELL-POSITIVE, NK CELL-NEGATIVE	
422	KARS1	601421	613641	KARS1	gene	3735	ENSG00000065427	?Charcot-Marie-Tooth disease, recessive intermediate, B, 613641 (3)	16q23.1	KARS1	chr16	ENSG00000065427	1934754	LYSYL-tRNA SYNTHETASE 1	KARS1	601421;613641	CHARCOT-MARIE-TOOTH DISEASE, RECESSIVE INTERMEDIATE B	CMTRIB
423	KARS1	601421	613916	KARS1	gene	3735	ENSG00000065427	Deafness, autosomal recessive 89, 613916 (3)	16q23.1	KARS1	chr16	ENSG00000065427	1934754	LYSYL-tRNA SYNTHETASE 1	KARS1	601421;613916	DEAFNESS, AUTOSOMAL RECESSIVE 89	DFNB89
424	KARS1	601421	619147	KARS1	gene	3735	ENSG00000065427	Leukoencephalopathy, progressive, infantile-onset, with or without deafness, 619147 (3)	16q23.1	KARS1	chr16	ENSG00000065427	1934754	LYSYL-tRNA SYNTHETASE 1	KARS1	601421;619147	LEUKOENCEPHALOPATHY, PROGRESSIVE, INFANTILE-ONSET, WITH OR WITHOUT DEAFNESS	LEPID
425	KARS1	601421	619196	KARS1	gene	3735	ENSG00000065427	Deafness, congenital, and adult-onset progressive leukoencephalopathy, 619196 (3)	16q23.1	KARS1	chr16	ENSG00000065427	1934754	LYSYL-tRNA SYNTHETASE 1	KARS1	601421;619196	DEAFNESS, CONGENITAL, AND ADULT-ONSET PROGRESSIVE LEUKOENCEPHALOPATHY	DEAPLE
426	KCNK5	603493		KCNK5	gene	8645	ENSG00000164626				chr6	ENSG00000164626	1336175	POTASSIUM CHANNEL, SUBFAMILY K, MEMBER 5	KCNK5	603493		
427	KCNN4	602754	616689	KCNN4	gene	3783	ENSG00000104783	Dehydrated hereditary stomatocytosis 2, 616689 (3)	19q13.31	KCNN4	chr19	ENSG00000104783	1277957	POTASSIUM CHANNEL, CALCIUM-ACTIVATED, INTERMEDIATE/SMALL CONDUCTANCE, SUBFAMILY N, MEMBER 4	KCNN4	602754;616689	DEHYDRATED HEREDITARY STOMATOCYTOSIS 2	DHS2
428	KRAS	190070	108010	KRAS	gene	3845	ENSG00000133703	Arteriovenous malformation of the brain, somatic, 108010 (3)	12p12.1	KRAS	chr12	ENSG00000133703	96680	KRAS PROTOONCOGENE, GTPase	KRAS	108010;190070	ARTERIOVENOUS MALFORMATIONS OF THE BRAIN	
429	KRAS	190070	109800	KRAS	gene	3845	ENSG00000133703	Bladder cancer, somatic, 109800 (3)	12p12.1	KRAS	chr12	ENSG00000133703	96680	KRAS PROTOONCOGENE, GTPase	KRAS	109800;190070	BLADDER CANCER	
430	KRAS	190070	114480	KRAS	gene	3845	ENSG00000133703	Breast cancer, somatic, 114480 (3)	12p12.1	KRAS	chr12	ENSG00000133703	96680	KRAS PROTOONCOGENE, GTPase	KRAS	114480;190070	BREAST CANCER	
